id,name,region,province,lat,lon,type,dynasty,area,material,roof_slope,wall_thickness,window_ratio,rainfall,temperature,slope,culture_tag,quote
34,桂北侗族干栏,岭南地区,广西壮族自治区,25.7945,109.6176,侗族干栏楼,明清,260,原木杉木,39,0.38,0.22,1500,19,28,侗乡营造,全木干栏式悬空建造，适配桂北山地多雨潮湿环境。
35,桂南壮族高脚,岭南地区,广西壮族自治区,22.8282,108.3278,壮族高脚楼,明清,230,竹木土石,35,0.40,0.24,1480,21,6,壮乡建筑,高脚离地架空设计，防虫涝适配岭南湿热气候。
36,粤东四角楼,岭南地区,广东省,24.2978,116.1162,客家四角楼,明清,650,夯土砖木,24,0.70,0.16,1720,22,3,客家围合,四角碉楼护卫合院，攻防一体典型粤东客家民居。
37,粤北过山瑶山寨,岭南地区,广东省,24.9265,113.3478,瑶寨山居,明清,180,竹木茅草,42,0.45,0.20,1700,20,18,瑶族古居,依山散建竹木为屋，简约质朴适配粤北山区林地环境。
38,重庆吊脚楼,西南地区,重庆市,29.5630,106.5516,吊脚楼,明清,340,杉木,39,0.38,0.25,1100,19,24,山地营造,架空底层顺应陡坡地形并改善通风防潮。
39,川西民居,西南地区,四川省,30.6586,104.0648,川西民居,明清,460,木石夯土,30,0.67,0.18,900,15,12,天府民居,穿斗与院坝结合形成适宜盆地气候的居住格局。
40,云南一颗印,西南地区,云南省,25.0438,102.7100,一颗印,明清,410,土木,26,0.62,0.17,980,16,7,坝区院落,中轴对称的小院格局映射滇中农耕社会秩序。
41,贵州侗寨鼓楼,西南地区,贵州省,26.5982,108.4911,侗寨鼓楼,明清,280,杉木,42,0.32,0.30,1250,16,28,鼓楼文化,鼓楼既是公共议事中心也是族群精神象征。
42,西藏碉房,西南地区,西藏自治区,29.6520,91.1721,碉房,明清,500,石木夯土,16,0.88,0.11,450,8,20,高原防御,厚重墙体与小窗洞适应高寒高原并兼顾防御需求。
43,川南穿斗式草房,西南地区,四川省,28.7715,104.6293,穿斗草屋,明清,240,竹木茅草,28,0.67,0.20,1100,18,12,川南山居,穿斗木构架承重，茅草覆顶适配川南丘陵湿热气候。
44,川北依山夯土,西南地区,四川省,32.4356,105.8472,依山夯土房,明清,310,夯土木材,26,0.71,0.16,900,16,12,巴山民居,依托山势夯土筑墙，就地取材适配川北山地。
45,滇西白族三坊一照壁,西南地区,云南省,25.6065,100.2679,白族合院,明清,460,砖木大理石,26,0.70,0.18,1450,16,7,白族建筑,三坊合围一壁照墙，白墙青瓦融合大理民族风情。
46,滇南傣族竹楼,西南地区,云南省,22.0174,100.8018,干栏竹楼,明清,200,竹木茅草,39,0.35,0.28,1600,22,3,傣家文化,高架干栏全竹构建，通风避潮适配热带雨林气候。
47,滇西北纳西族木楞房,西南地区,云南省,26.8721,100.2273,木楞房,明清,340,原木松木,25,0.73,0.16,1000,14,10,纳西人居,整木垒砌无榫无钉，古朴简约适配高原山地气候。
48,新疆阿以旺,西北地区,新疆维吾尔自治区,43.8256,87.6168,阿以旺,明清,370,土坯木构,8,0.86,0.09,280,13,4,绿洲人居,内向院落与厚土墙体适应干旱炎热的绿洲环境。
49,蒙古包,西北地区,内蒙古自治区,40.8175,111.7652,蒙古包,汉唐,95,毛毡木架,50,0.18,0.06,350,6,2,草原游牧,可拆装圆形居所体现游牧社会的流动性与环境适应。
50,陇东下沉窑洞,西北地区,甘肃省,35.7231,107.8456,地坑院窑洞,明清,450,生土木材,10,0.95,0.10,400,10,8,黄土人居,平地挖坑四向凿窑，地下院落隐匿于黄土塬面。
